LeadId,FirstName,LastName,Company,Country,Region,Source,Status,Score,Rating,IsConverted,ConvertedAccountId,Product_Interest,CreatedDate,LastActivityDate,SalesRep
LED00022,Budi,García,Air Force France,France,Europe,Dubai Airshow,Working,75,Hot,False,,Training Program,2020-06-20,2021-07-08,Isabelle Bernard
LED00023,Siti,Santoso,Air Force France,France,Europe,Euronaval,Converted,25,Cold,True,ACC0003,Training Program,2018-12-30,2021-05-02,Sophie Leclerc
LED00024,Miguel,Horvat,Ministry of Defense Indonesia,Indonesia,Asia,Air Show Le Bourget,Working,88,Hot,False,,Training Program,2022-04-07,2023-10-02,Sophie Leclerc
LED00025,Khaled,Schmidt,Air Force UAE,UAE,Middle East,Euronaval,Converted,37,Cold,True,ACC0016,Falcon 10X,2023-07-01,2023-10-07,Sophie Leclerc
LED00026,Ivana,Al-Rashid,Air Force Greece,Greece,Europe,DSEI London,Disqualified,53,Warm,False,,Training Program,2021-08-25,2023-06-09,Jean-Pierre Martin
LED00027,Khalid,Schmidt,Air Force Indonesia,Indonesia,Asia,LinkedIn,New,90,Hot,False,,Falcon 6X,2023-06-05,2023-07-04,Marc Dupont
LED00028,Priya,Marić,Ministry of Defense Spain,Spain,Europe,Euronaval,Disqualified,27,Cold,False,,Falcon 10X,2022-08-03,2024-06-24,Marc Dupont
LED00029,Priya,García,Air Force Indonesia,Indonesia,Asia,Embassy Referral,Nurturing,56,Warm,False,,Falcon 6X,2020-12-03,2022-10-29,Jean-Pierre Martin
LED00030,Ante,Santoso,Ministry of Defense Croatia,Croatia,Europe,Euronaval,Working,52,Warm,False,,Rafale F4,2019-11-14,2023-04-23,Antoine Morel
LED00031,Khaled,Hassan,Ministry of Defense France,France,Europe,LinkedIn,Nurturing,77,Hot,False,,MRO Contract Rafale,2018-03-28,2022-03-11,Antoine Morel
LED00032,Budi,Al-Thani,Ministry of Defense India,India,Asia,DSEI London,Working,66,Warm,False,,Spare Parts Package,2024-01-03,2024-04-29,Marc Dupont
LED00033,Ivana,Kumar,Air Force Qatar,Qatar,Middle East,Aero India Bangalore,Nurturing,42,Warm,False,,Rafale F3-R,2024-03-14,2024-05-05,Antoine Morel
LED00034,Rajesh,Horvat,Ministry of Defense Croatia,Croatia,Europe,Embassy Referral,Working,5,Cold,False,,Falcon 6X,2021-05-19,2021-07-27,Marc Dupont
LED00035,Ahmed,Hassan,Air Force Indonesia,Indonesia,Asia,DSEI London,Nurturing,83,Hot,False,,Spare Parts Package,2021-01-10,2021-02-20,Jean-Pierre Martin
LED00036,Budi,Schmidt,Ministry of Defense Egypt,Egypt,Africa,Aero India Bangalore,Nurturing,94,Hot,False,,MRO Contract Rafale,2022-05-22,2023-07-31,Antoine Morel
LED00037,Carlos,López,Air Force Greece,Greece,Europe,Air Show Le Bourget,Nurturing,35,Cold,False,,Falcon 10X,2019-02-13,2023-12-08,Jean-Pierre Martin
LED00038,Ante,Wijaya,Air Force Indonesia,Indonesia,Asia,Dubai Airshow,Working,71,Hot,False,,Rafale F3-R,2021-03-10,2023-12-22,Isabelle Bernard
LED00039,Miguel,Kumar,Air Force Spain,Spain,Europe,LinkedIn,New,91,Hot,False,,Falcon 6X,2020-07-06,2023-01-07,Marc Dupont
LED00040,Nikos,Hassan,Air Force Germany,Germany,Europe,Partner Network,Converted,13,Cold,True,ACC0006,Falcon 6X,2021-09-23,2024-06-22,Antoine Morel
LED00041,Siti,López,Ministry of Defense Egypt,Egypt,Africa,Dubai Airshow,Nurturing,18,Cold,False,,Rafale F3-R,2023-04-24,2024-09-10,Marc Dupont
LED00042,Priya,Singh,Ministry of Defense Greece,Greece,Europe,Embassy Referral,Working,94,Hot,False,,Offset Industrial Package,2019-09-09,2021-12-19,Jean-Pierre Martin
LED00043,Ante,Al-Sabah,Air Force UAE,UAE,Middle East,Euronaval,Nurturing,96,Hot,False,,Falcon 6X,2023-06-25,2024-05-19,Isabelle Bernard
LED00044,Mohammed,Al-Rashid,Ministry of Defense Spain,Spain,Europe,Partner Network,Disqualified,71,Hot,False,,Spare Parts Package,2018-11-30,2020-05-04,Jean-Pierre Martin
LED00045,Yiannis,Al-Farsi,Air Force Spain,Spain,Europe,Aero India Bangalore,New,95,Hot,False,,Spare Parts Package,2020-03-19,2022-12-28,Sophie Leclerc
LED00046,Khaled,Kumar,Air Force France,France,Europe,Partner Network,Disqualified,95,Hot,False,,Spare Parts Package,2022-09-09,2023-07-07,Marc Dupont
LED00047,Nikos,Müller,Ministry of Defense Germany,Germany,Europe,LinkedIn,Nurturing,47,Warm,False,,Falcon 6X,2019-11-11,2024-05-12,Antoine Morel
LED00048,Budi,Singh,Ministry of Defense Spain,Spain,Europe,LinkedIn,Working,77,Hot,False,,Falcon 8X,2023-03-11,2023-08-26,Antoine Morel
LED00049,Khalid,Hassan,Ministry of Defense India,India,Asia,Partner Network,Nurturing,40,Warm,False,,Rafale F3-R,2019-09-08,2021-06-07,Sophie Leclerc
LED00050,Priya,Schmidt,Air Force Egypt,Egypt,Africa,Dubai Airshow,Nurturing,68,Warm,False,,Falcon 8X,2019-01-23,2019-10-23,Marc Dupont
LED00051,Carlos,Müller,Ministry of Defense Qatar,Qatar,Middle East,Dubai Airshow,New,80,Hot,False,,Spare Parts Package,2020-02-29,2023-06-09,Marc Dupont
LED00052,Ante,Marić,Ministry of Defense Germany,Germany,Europe,LinkedIn,Nurturing,98,Hot,False,,Falcon 6X,2020-11-09,2021-04-16,Antoine Morel
LED00053,Carlos,López,Air Force Egypt,Egypt,Africa,Aero India Bangalore,Working,93,Hot,False,,Upgrade EW Suite,2020-01-01,2023-04-17,Isabelle Bernard
LED00054,Hans,Al-Sabah,Air Force Germany,Germany,Europe,LinkedIn,Disqualified,98,Hot,False,,Rafale F3-R,2021-02-09,2022-05-29,Sophie Leclerc
LED00055,Rajesh,Singh,Air Force Germany,Germany,Europe,DSEI London,New,18,Cold,False,,Rafale F3-R,2023-05-02,2023-09-19,Antoine Morel
LED00056,Siti,Al-Farsi,Air Force Indonesia,Indonesia,Asia,Partner Network,Nurturing,85,Hot,False,,Spare Parts Package,2021-05-24,2023-07-05,Isabelle Bernard
LED00057,Siti,Hassan,Ministry of Defense Qatar,Qatar,Middle East,Partner Network,Converted,39,Cold,True,ACC0027,Falcon 6X,2021-07-22,2022-06-27,Marc Dupont
LED00058,Mohammed,Marić,Ministry of Defense Indonesia,Indonesia,Asia,Aero India Bangalore,Nurturing,71,Hot,False,,MRO Contract Rafale,2020-10-23,2021-10-22,Jean-Pierre Martin
LED00059,Budi,Schmidt,Ministry of Defense Croatia,Croatia,Europe,LinkedIn,Converted,98,Hot,True,ACC0030,Falcon 6X,2022-10-04,2023-10-30,Marc Dupont
LED00060,Budi,Kumar,Ministry of Defense India,India,Asia,Aero India Bangalore,Nurturing,25,Cold,False,,MRO Contract Rafale,2023-11-25,2024-01-12,Marc Dupont
LED00061,Carlos,Al-Sabah,Air Force Spain,Spain,Europe,Euronaval,Converted,1,Cold,True,ACC0023,Falcon 10X,2018-05-18,2021-06-14,Jean-Pierre Martin
LED00062,Hamad,Al-Sabah,Ministry of Defense Croatia,Croatia,Europe,Air Show Le Bourget,Converted,77,Hot,True,ACC0021,Upgrade EW Suite,2023-07-02,2023-10-16,Jean-Pierre Martin
LED00063,Hamad,Papadopoulos,Air Force India,India,Asia,LinkedIn,Disqualified,78,Hot,False,,Rafale F4,2019-09-20,2020-01-12,Isabelle Bernard
LED00064,Budi,Schmidt,Ministry of Defense Qatar,Qatar,Middle East,Air Show Le Bourget,Disqualified,12,Cold,False,,MRO Contract Rafale,2021-02-10,2024-11-17,Marc Dupont
LED00065,Rajesh,Nasser,Air Force Germany,Germany,Europe,Aero India Bangalore,Disqualified,92,Hot,False,,Rafale F3-R,2023-10-16,2023-11-18,Sophie Leclerc
LED00066,Carlos,Schmidt,Air Force Greece,Greece,Europe,Aero India Bangalore,Working,10,Cold,False,,Upgrade EW Suite,2018-07-02,2023-02-02,Sophie Leclerc
LED00067,Amit,Nikolaou,Ministry of Defense Greece,Greece,Europe,Air Show Le Bourget,Nurturing,35,Cold,False,,Rafale F4,2019-04-28,2022-06-30,Isabelle Bernard
LED00068,Hamad,Singh,Ministry of Defense Egypt,Egypt,Africa,DSEI London,Working,11,Cold,False,,Rafale F3-R,2018-12-20,2020-11-12,Jean-Pierre Martin
LED00069,Klaus,Santoso,Ministry of Defense Qatar,Qatar,Middle East,Dubai Airshow,New,58,Warm,False,,Falcon 8X,2020-10-07,2022-07-04,Jean-Pierre Martin
LED00070,Amit,Al-Rashid,Air Force Greece,Greece,Europe,Embassy Referral,Working,22,Cold,False,,Falcon 6X,2024-05-03,2024-07-11,Sophie Leclerc
LED00071,Ahmed,Al-Sabah,Air Force Greece,Greece,Europe,Aero India Bangalore,Converted,33,Cold,True,ACC0012,MRO Contract Rafale,2020-12-19,2024-07-25,Antoine Morel
LED00072,Nikos,Marić,Ministry of Defense France,France,Europe,Partner Network,Disqualified,4,Cold,False,,Spare Parts Package,2022-04-29,2023-04-19,Marc Dupont
LED00073,Carlos,Hassan,Ministry of Defense Qatar,Qatar,Middle East,Dubai Airshow,Disqualified,89,Hot,False,,Falcon 6X,2024-03-09,2024-07-19,Sophie Leclerc
LED00074,Hamad,Al-Sabah,Air Force Greece,Greece,Europe,Partner Network,Disqualified,4,Cold,False,,Offset Industrial Package,2023-10-19,2024-04-01,Marc Dupont
LED00075,Sunita,Kumar,Air Force Germany,Germany,Europe,Embassy Referral,Working,4,Cold,False,,Training Program,2019-03-05,2022-12-04,Marc Dupont
LED00076,Ante,Al-Thani,Ministry of Defense France,France,Europe,DSEI London,Working,45,Warm,False,,Training Program,2023-03-28,2024-07-07,Antoine Morel
LED00077,Sunita,Schmidt,Air Force Indonesia,Indonesia,Asia,Embassy Referral,Converted,60,Warm,True,ACC0022,Spare Parts Package,2020-10-31,2022-07-07,Jean-Pierre Martin
LED00078,Miguel,Nasser,Ministry of Defense Spain,Spain,Europe,Dubai Airshow,Nurturing,13,Cold,False,,Falcon 8X,2021-01-08,2023-11-22,Sophie Leclerc
LED00079,Miguel,Papadopoulos,Air Force Germany,Germany,Europe,Euronaval,Disqualified,89,Hot,False,,MRO Contract Rafale,2020-03-23,2024-08-23,Jean-Pierre Martin
LED00080,Yiannis,Nasser,Air Force Greece,Greece,Europe,DSEI London,New,98,Hot,False,,Rafale F3-R,2021-11-18,2022-09-16,Sophie Leclerc
LED00081,Budi,Al-Rashid,Air Force Greece,Greece,Europe,Aero India Bangalore,New,39,Cold,False,,Falcon 6X,2020-08-25,2021-07-06,Antoine Morel
LED00082,Khalid,Marić,Ministry of Defense India,India,Asia,LinkedIn,Working,61,Warm,False,,Falcon 6X,2019-02-14,2024-06-01,Isabelle Bernard
LED00083,Nikos,Singh,Ministry of Defense UAE,UAE,Middle East,Partner Network,Disqualified,97,Hot,False,,Falcon 8X,2022-05-07,2023-06-20,Marc Dupont
LED00084,Sunita,Al-Sabah,Ministry of Defense Indonesia,Indonesia,Asia,Euronaval,Working,76,Hot,False,,Offset Industrial Package,2018-10-21,2019-02-08,Sophie Leclerc
LED00085,Rajesh,Schmidt,Ministry of Defense UAE,UAE,Middle East,Aero India Bangalore,Working,47,Warm,False,,Spare Parts Package,2023-08-16,2024-11-26,Jean-Pierre Martin
LED00086,Klaus,Al-Rashid,Air Force France,France,Europe,Dubai Airshow,Working,63,Warm,False,,Spare Parts Package,2020-05-15,2024-01-14,Sophie Leclerc
LED00087,Priya,García,Ministry of Defense France,France,Europe,Embassy Referral,Working,36,Cold,False,,Spare Parts Package,2023-05-23,2023-11-22,Sophie Leclerc
LED00088,Sunita,Al-Farsi,Ministry of Defense Spain,Spain,Europe,Embassy Referral,Nurturing,13,Cold,False,,Spare Parts Package,2018-12-05,2019-01-24,Sophie Leclerc
LED00089,Rajesh,Al-Sabah,Ministry of Defense France,France,Europe,LinkedIn,Nurturing,73,Hot,False,,Spare Parts Package,2023-02-06,2024-04-13,Jean-Pierre Martin
LED00090,Hans,Nikolaou,Ministry of Defense Indonesia,Indonesia,Asia,Euronaval,Converted,33,Cold,True,ACC0025,Training Program,2019-04-20,2023-01-21,Antoine Morel
LED00091,Ante,Nasser,Ministry of Defense Egypt,Egypt,Africa,LinkedIn,Working,100,Hot,False,,Rafale F4,2022-10-03,2023-03-05,Jean-Pierre Martin
LED00092,Fatima,Sharma,Air Force Germany,Germany,Europe,LinkedIn,Working,33,Cold,False,,Rafale F3-R,2023-02-07,2023-06-11,Isabelle Bernard
LED00093,Carlos,Al-Rashid,Air Force Qatar,Qatar,Middle East,Partner Network,Disqualified,6,Cold,False,,Falcon 10X,2022-02-21,2024-04-16,Jean-Pierre Martin
LED00094,Yiannis,Singh,Air Force France,France,Europe,Euronaval,Working,37,Cold,False,,Rafale F3-R,2018-03-13,2024-11-16,Jean-Pierre Martin
LED00095,Hamad,Hassan,Ministry of Defense India,India,Asia,LinkedIn,Converted,68,Warm,True,ACC0005,Falcon 8X,2020-10-15,2024-05-03,Isabelle Bernard
LED00096,Siti,López,Air Force Greece,Greece,Europe,Embassy Referral,Disqualified,44,Warm,False,,Rafale F4,2020-09-26,2022-07-26,Marc Dupont
LED00097,Khaled,Wijaya,Ministry of Defense France,France,Europe,Air Show Le Bourget,Disqualified,77,Hot,False,,Rafale F4,2019-02-19,2022-12-03,Marc Dupont
LED00098,Ahmed,Al-Rashid,Ministry of Defense Indonesia,Indonesia,Asia,Embassy Referral,Working,2,Cold,False,,Falcon 6X,2020-11-18,2024-01-31,Marc Dupont
LED00099,Priya,Patel,Ministry of Defense Germany,Germany,Europe,Euronaval,Nurturing,65,Warm,False,,Falcon 6X,2020-09-25,2023-03-08,Marc Dupont
LED00100,Hamad,Müller,Air Force Greece,Greece,Europe,Aero India Bangalore,Converted,64,Warm,True,ACC0014,Falcon 6X,2022-06-21,2022-07-10,Isabelle Bernard
LED00101,Mohammed,Horvat,Air Force Greece,Greece,Europe,Aero India Bangalore,Nurturing,34,Cold,False,,MRO Contract Rafale,2021-07-27,2022-10-22,Jean-Pierre Martin
LED00102,Ante,Nasser,Air Force Germany,Germany,Europe,Euronaval,Nurturing,58,Warm,False,,Upgrade EW Suite,2021-09-08,2021-10-03,Marc Dupont
LED00103,Yiannis,Al-Sabah,Air Force Qatar,Qatar,Middle East,LinkedIn,Converted,44,Warm,True,ACC0023,Falcon 8X,2019-09-14,2023-06-23,Isabelle Bernard
LED00104,Ahmed,Al-Sabah,Ministry of Defense Indonesia,Indonesia,Asia,Euronaval,Converted,4,Cold,True,ACC0012,Rafale F4,2024-05-29,2024-07-21,Antoine Morel
LED00105,Yiannis,Kumar,Air Force Greece,Greece,Europe,LinkedIn,Converted,37,Cold,True,ACC0019,Falcon 8X,2023-01-24,2024-10-24,Marc Dupont
LED00106,Ante,Al-Sabah,Ministry of Defense Indonesia,Indonesia,Asia,Embassy Referral,New,97,Hot,False,,Spare Parts Package,2021-03-08,2024-03-12,Sophie Leclerc
LED00107,Budi,Al-Farsi,Ministry of Defense Germany,Germany,Europe,Embassy Referral,New,15,Cold,False,,Falcon 8X,2020-06-13,2021-05-04,Isabelle Bernard
LED00108,Amit,Patel,Ministry of Defense Qatar,Qatar,Middle East,Embassy Referral,Working,96,Hot,False,,MRO Contract Rafale,2021-02-16,2023-12-11,Antoine Morel
LED00109,Klaus,Nikolaou,Air Force UAE,UAE,Middle East,Embassy Referral,Nurturing,51,Warm,False,,Falcon 8X,2023-03-16,2024-04-28,Marc Dupont
LED00110,Mohammed,Nasser,Ministry of Defense Spain,Spain,Europe,Air Show Le Bourget,Converted,42,Warm,True,ACC0014,Spare Parts Package,2019-12-07,2022-03-26,Sophie Leclerc
LED00111,Ahmed,Schmidt,Ministry of Defense Germany,Germany,Europe,Air Show Le Bourget,New,28,Cold,False,,Spare Parts Package,2023-08-24,2023-09-04,Marc Dupont
LED00112,Sunita,Kumar,Ministry of Defense France,France,Europe,Dubai Airshow,Converted,72,Hot,True,ACC0029,Spare Parts Package,2019-01-08,2024-10-02,Sophie Leclerc
LED00113,Hamad,Al-Sabah,Ministry of Defense Croatia,Croatia,Europe,Aero India Bangalore,Converted,47,Warm,True,ACC0030,Falcon 6X,2020-09-07,2022-06-29,Sophie Leclerc
LED00114,Yiannis,Horvat,Ministry of Defense Egypt,Egypt,Africa,Euronaval,Working,3,Cold,False,,Training Program,2023-03-04,2023-11-06,Sophie Leclerc
LED00115,Hamad,Horvat,Air Force Spain,Spain,Europe,Partner Network,New,82,Hot,False,,Rafale F4,2021-09-18,2021-10-02,Jean-Pierre Martin
LED00116,Fatima,García,Ministry of Defense Spain,Spain,Europe,Embassy Referral,Disqualified,60,Warm,False,,Upgrade EW Suite,2018-10-16,2020-02-23,Antoine Morel
LED00117,Klaus,Nasser,Ministry of Defense Croatia,Croatia,Europe,Air Show Le Bourget,Converted,61,Warm,True,ACC0024,Rafale F3-R,2018-09-02,2022-09-29,Isabelle Bernard
LED00118,Carlos,López,Ministry of Defense Indonesia,Indonesia,Asia,Partner Network,New,100,Hot,False,,Rafale F4,2019-08-21,2023-09-07,Sophie Leclerc
LED00119,Khalid,Santoso,Air Force Indonesia,Indonesia,Asia,LinkedIn,Working,84,Hot,False,,MRO Contract Rafale,2020-09-22,2024-04-28,Jean-Pierre Martin
LED00120,Amit,Müller,Ministry of Defense Croatia,Croatia,Europe,Partner Network,Working,96,Hot,False,,MRO Contract Rafale,2020-11-30,2023-06-10,Marc Dupont
LED00121,Siti,Müller,Air Force Germany,Germany,Europe,Euronaval,Converted,4,Cold,True,ACC0029,MRO Contract Rafale,2019-08-30,2022-10-27,Marc Dupont
LED00122,Khalid,Nikolaou,Ministry of Defense Greece,Greece,Europe,Euronaval,Working,91,Hot,False,,Falcon 8X,2021-06-02,2022-02-20,Sophie Leclerc
LED00123,Budi,López,Air Force Indonesia,Indonesia,Asia,Euronaval,Converted,32,Cold,True,ACC0019,Rafale F3-R,2018-04-25,2021-03-22,Marc Dupont
LED00124,Nikos,López,Ministry of Defense Croatia,Croatia,Europe,Embassy Referral,Disqualified,79,Hot,False,,MRO Contract Rafale,2021-11-10,2024-10-16,Marc Dupont
LED00125,Khalid,Al-Thani,Air Force Croatia,Croatia,Europe,Embassy Referral,Working,82,Hot,False,,Spare Parts Package,2023-11-22,2023-11-29,Jean-Pierre Martin
LED00126,Carlos,Schmidt,Ministry of Defense UAE,UAE,Middle East,LinkedIn,Working,39,Cold,False,,Rafale F4,2019-09-07,2023-04-30,Sophie Leclerc
LED00127,Siti,Horvat,Ministry of Defense Croatia,Croatia,Europe,LinkedIn,Nurturing,58,Warm,False,,MRO Contract Rafale,2018-02-19,2018-07-03,Isabelle Bernard
LED00128,Ante,Marić,Ministry of Defense Qatar,Qatar,Middle East,DSEI London,New,64,Warm,False,,Rafale F3-R,2024-03-16,2024-10-30,Antoine Morel
LED00129,Ivana,Horvat,Ministry of Defense UAE,UAE,Middle East,Dubai Airshow,Converted,32,Cold,True,ACC0015,Falcon 8X,2020-01-19,2020-04-10,Antoine Morel
LED00130,Ahmed,Papadopoulos,Ministry of Defense Spain,Spain,Europe,Euronaval,New,35,Cold,False,,Rafale F3-R,2020-02-18,2021-04-18,Sophie Leclerc
LED00131,Mohammed,Marić,Ministry of Defense Germany,Germany,Europe,Dubai Airshow,Nurturing,97,Hot,False,,Rafale F3-R,2023-03-17,2024-02-06,Jean-Pierre Martin
LED00132,Budi,Al-Farsi,Ministry of Defense Croatia,Croatia,Europe,Dubai Airshow,Nurturing,14,Cold,False,,Falcon 6X,2023-05-04,2024-09-13,Marc Dupont
LED00133,Yiannis,Santoso,Ministry of Defense Germany,Germany,Europe,Air Show Le Bourget,Disqualified,55,Warm,False,,Offset Industrial Package,2019-04-02,2024-05-13,Jean-Pierre Martin
LED00134,Amit,Wijaya,Air Force Indonesia,Indonesia,Asia,Euronaval,Working,76,Hot,False,,Falcon 10X,2019-12-25,2023-08-07,Marc Dupont
LED00135,Siti,Müller,Ministry of Defense Spain,Spain,Europe,Euronaval,Working,31,Cold,False,,Rafale F4,2024-04-17,2024-10-27,Sophie Leclerc
LED00136,Khalid,Al-Sabah,Air Force India,India,Asia,Partner Network,Disqualified,40,Warm,False,,Rafale F4,2023-09-19,2024-10-12,Isabelle Bernard
LED00137,Hamad,Santoso,Ministry of Defense Egypt,Egypt,Africa,Euronaval,Working,56,Warm,False,,Falcon 6X,2024-01-16,2024-05-04,Marc Dupont
LED00138,Klaus,Schmidt,Air Force Qatar,Qatar,Middle East,Euronaval,Nurturing,98,Hot,False,,Falcon 8X,2019-02-26,2022-10-14,Sophie Leclerc
LED00139,Hans,Al-Thani,Air Force Indonesia,Indonesia,Asia,Dubai Airshow,Working,100,Hot,False,,Upgrade EW Suite,2019-10-09,2022-06-05,Antoine Morel
LED00140,Klaus,Patel,Air Force Greece,Greece,Europe,Embassy Referral,Disqualified,29,Cold,False,,MRO Contract Rafale,2023-04-18,2024-04-14,Marc Dupont
LED00141,Rajesh,Nasser,Air Force Greece,Greece,Europe,Partner Network,Nurturing,54,Warm,False,,Spare Parts Package,2022-09-05,2023-09-02,Sophie Leclerc
LED00142,Budi,García,Air Force Greece,Greece,Europe,Partner Network,Converted,2,Cold,True,ACC0012,Rafale F3-R,2020-04-08,2022-01-27,Isabelle Bernard
LED00143,Budi,Schmidt,Ministry of Defense Qatar,Qatar,Middle East,Embassy Referral,Nurturing,71,Hot,False,,Falcon 10X,2020-03-27,2020-10-31,Jean-Pierre Martin
LED00144,Priya,Nasser,Ministry of Defense France,France,Europe,Dubai Airshow,Converted,41,Warm,True,ACC0030,Training Program,2023-04-09,2023-12-20,Marc Dupont
LED00145,Carlos,Marić,Air Force India,India,Asia,Embassy Referral,New,12,Cold,False,,Falcon 10X,2021-11-04,2022-06-19,Isabelle Bernard
LED00146,Nikos,Papadopoulos,Ministry of Defense Egypt,Egypt,Africa,Aero India Bangalore,Disqualified,41,Warm,False,,Offset Industrial Package,2022-08-22,2023-03-14,Antoine Morel
LED00147,Carlos,Marić,Ministry of Defense Croatia,Croatia,Europe,DSEI London,Working,31,Cold,False,,Falcon 10X,2024-02-17,2024-02-28,Sophie Leclerc
LED00148,Budi,Al-Thani,Air Force Qatar,Qatar,Middle East,DSEI London,Disqualified,46,Warm,False,,Falcon 6X,2023-01-01,2024-04-16,Marc Dupont
LED00149,Carlos,Schmidt,Ministry of Defense UAE,UAE,Middle East,LinkedIn,Disqualified,86,Hot,False,,Rafale F3-R,2020-11-26,2021-09-09,Jean-Pierre Martin
LED00150,Siti,Sharma,Ministry of Defense Indonesia,Indonesia,Asia,Embassy Referral,Converted,50,Warm,True,ACC0017,MRO Contract Rafale,2018-07-16,2018-09-20,Antoine Morel
LED00151,Ante,Al-Sabah,Air Force India,India,Asia,Embassy Referral,Disqualified,64,Warm,False,,MRO Contract Rafale,2021-09-01,2022-01-16,Jean-Pierre Martin
LED00152,Siti,Hassan,Ministry of Defense Spain,Spain,Europe,DSEI London,New,99,Hot,False,,Training Program,2019-10-11,2023-03-13,Sophie Leclerc
LED00153,Amit,Hassan,Air Force Indonesia,Indonesia,Asia,DSEI London,Nurturing,35,Cold,False,,Offset Industrial Package,2019-09-16,2021-08-11,Isabelle Bernard
LED00154,Hans,Nasser,Air Force India,India,Asia,Embassy Referral,Nurturing,51,Warm,False,,Falcon 6X,2018-01-27,2021-09-08,Isabelle Bernard
LED00155,Ante,Nikolaou,Ministry of Defense Greece,Greece,Europe,Aero India Bangalore,Nurturing,28,Cold,False,,Falcon 6X,2021-08-30,2024-11-18,Marc Dupont
LED00156,Hamad,Al-Farsi,Air Force UAE,UAE,Middle East,Aero India Bangalore,New,98,Hot,False,,Offset Industrial Package,2021-06-17,2021-09-05,Sophie Leclerc
